timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/02/13 05:53:04.171, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:53:14.173, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:53:24.174, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:53:34.175, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:53:44.177, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:53:54.183, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:54:04.184, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:54:14.186, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:54:24.193, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
2026/02/13 05:54:34.195, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:54:44.196, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:54:54.198, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:55:04.199, 0, Tesla V100S-PCIE-32GB, 50 %, 472 MiB, 32768 MiB
2026/02/13 05:55:14.201, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:55:24.202, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:55:34.207, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:55:44.211, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:55:54.212, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:56:04.214, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:56:14.215, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 05:56:24.217, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:56:34.219, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:56:44.221, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 05:56:54.223, 0, Tesla V100S-PCIE-32GB, 44 %, 472 MiB, 32768 MiB
2026/02/13 05:57:04.224, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:57:14.228, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 05:57:24.230, 0, Tesla V100S-PCIE-32GB, 31 %, 472 MiB, 32768 MiB
2026/02/13 05:57:34.233, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:57:44.240, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:57:54.244, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:58:04.246, 0, Tesla V100S-PCIE-32GB, 44 %, 472 MiB, 32768 MiB
2026/02/13 05:58:14.247, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:58:24.248, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:58:34.253, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:58:44.255, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 05:58:54.256, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 05:59:04.258, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 05:59:14.260, 0, Tesla V100S-PCIE-32GB, 45 %, 472 MiB, 32768 MiB
2026/02/13 05:59:24.264, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 05:59:34.270, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 05:59:44.273, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 05:59:54.274, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:00:04.279, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:00:14.281, 0, Tesla V100S-PCIE-32GB, 31 %, 472 MiB, 32768 MiB
2026/02/13 06:00:24.283, 0, Tesla V100S-PCIE-32GB, 45 %, 472 MiB, 32768 MiB
2026/02/13 06:00:34.284, 0, Tesla V100S-PCIE-32GB, 22 %, 472 MiB, 32768 MiB
2026/02/13 06:00:44.286, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:00:54.287, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:01:04.289, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:01:14.290, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:01:24.291, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:01:34.296, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:01:44.297, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:01:54.299, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:02:04.301, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:02:14.302, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:02:24.304, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:02:34.306, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:02:44.307, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:02:54.313, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:03:04.314, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:03:14.316, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:03:24.318, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:03:34.322, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:03:44.324, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:03:54.326, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:04:04.327, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:04:14.329, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:04:24.331, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:04:34.333, 0, Tesla V100S-PCIE-32GB, 44 %, 472 MiB, 32768 MiB
2026/02/13 06:04:44.336, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:04:54.338, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:05:04.345, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:05:14.347, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:05:24.349, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:05:34.350, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:05:44.352, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:05:54.353, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:06:04.355, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:06:14.356, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
